timestamp,open,high,low,close,volume,Timestamp
2025-04-14 21:00:00+00:00,1.1336,1.13789,1.12639,1.12932,228887.86,2025-04-14 21:00:00+00:00
2025-04-15 21:00:00+00:00,1.1293,1.14127,1.12925,1.13953,253736.68,2025-04-15 21:00:00+00:00
2025-04-16 21:00:00+00:00,1.13955,1.13967,1.13349,1.13715,202026.19,2025-04-16 21:00:00+00:00
2025-04-17 21:00:00+00:00,1.13717,1.13972,1.13578,1.13901,408531.0821,2025-04-17 21:00:00+00:00
2025-04-19 21:00:00+00:00,1.13946,1.14582,1.13925,1.14488,22114.86,2025-04-19 21:00:00+00:00
2025-04-20 21:00:00+00:00,1.14491,1.15729,1.14488,1.15137,201095.36,2025-04-20 21:00:00+00:00
2025-04-21 21:00:00+00:00,1.15139,1.1547,1.13077,1.13504,271037.97,2025-04-21 21:00:00+00:00
2025-04-22 21:00:00+00:00,1.13502,1.14399,1.13102,1.13292,247678.18,2025-04-22 21:00:00+00:00
2025-04-23 21:00:00+00:00,1.13293,1.13975,1.13212,1.13725,163090.05,2025-04-23 21:00:00+00:00
2025-04-24 21:00:00+00:00,1.13725,1.13885,1.13155,1.13628,165168.78,2025-04-24 21:00:00+00:00
2025-04-26 21:00:00+00:00,1.13636,1.13644,1.13398,1.13448,6614.3,2025-04-26 21:00:00+00:00
2025-04-27 21:00:00+00:00,1.13449,1.14248,1.13292,1.14075,134135.79,2025-04-27 21:00:00+00:00
2025-04-28 21:00:00+00:00,1.14076,1.14199,1.137,1.13902,151269.89,2025-04-28 21:00:00+00:00
2025-04-29 21:00:00+00:00,1.13904,1.13994,1.1317,1.13219,170061.37,2025-04-29 21:00:00+00:00
2025-04-30 21:00:00+00:00,1.13221,1.13409,1.12657,1.12955,139110.42,2025-04-30 21:00:00+00:00
2025-05-01 21:00:00+00:00,1.12955,1.13808,1.1274,1.12946,186873.05,2025-05-01 21:00:00+00:00
2025-05-03 21:00:00+00:00,1.12987,1.13278,1.12905,1.1321,8833.25,2025-05-03 21:00:00+00:00
2025-05-04 21:00:00+00:00,1.13212,1.13646,1.12969,1.1312,175679.52,2025-05-04 21:00:00+00:00
2025-05-05 21:00:00+00:00,1.13121,1.13808,1.12797,1.13397,175577.79,2025-05-05 21:00:00+00:00
2025-05-06 21:00:00+00:00,1.13396,1.1378,1.12917,1.13027,185134.96,2025-05-06 21:00:00+00:00
2025-05-07 21:00:00+00:00,1.13032,1.13361,1.12118,1.12267,195727.91,2025-05-07 21:00:00+00:00
2025-05-08 21:00:00+00:00,1.12268,1.12928,1.11964,1.1246,139764.11,2025-05-08 21:00:00+00:00
2025-05-10 21:00:00+00:00,1.119,1.12363,1.119,1.12276,10697.02,2025-05-10 21:00:00+00:00
2025-05-11 21:00:00+00:00,1.12281,1.12426,1.10651,1.10953,232069.92,2025-05-11 21:00:00+00:00
2025-05-12 21:00:00+00:00,1.10954,1.11971,1.10948,1.11856,166503.5,2025-05-12 21:00:00+00:00
2025-05-13 21:00:00+00:00,1.11858,1.12655,1.11645,1.11812,196989.32,2025-05-13 21:00:00+00:00
2025-05-14 21:00:00+00:00,1.11811,1.12279,1.117,1.11918,150648.91,2025-05-14 21:00:00+00:00
2025-05-15 21:00:00+00:00,1.11915,1.12195,1.11308,1.11612,135030.27,2025-05-15 21:00:00+00:00
2025-05-17 21:00:00+00:00,1.11749,1.11939,1.11711,1.11884,7876.095,2025-05-17 21:00:00+00:00
2025-05-18 21:00:00+00:00,1.11885,1.12879,1.11721,1.12321,153720.59,2025-05-18 21:00:00+00:00
2025-05-19 21:00:00+00:00,1.1232,1.129,1.12178,1.12881,135167.5,2025-05-19 21:00:00+00:00
2025-05-20 21:00:00+00:00,1.12881,1.13628,1.12866,1.13318,160878.47,2025-05-20 21:00:00+00:00
2025-05-21 21:00:00+00:00,1.13318,1.13448,1.12558,1.12819,163379.63,2025-05-21 21:00:00+00:00
2025-05-22 21:00:00+00:00,1.12818,1.13754,1.12787,1.13592,144725.8,2025-05-22 21:00:00+00:00
2025-05-24 21:00:00+00:00,1.13617,1.13816,1.13585,1.13744,12726.16,2025-05-24 21:00:00+00:00
2025-05-25 21:00:00+00:00,1.13747,1.14185,1.13688,1.13883,108211.3,2025-05-25 21:00:00+00:00
2025-05-26 21:00:00+00:00,1.13885,1.14071,1.1323,1.13366,145465.5518,2025-05-26 21:00:00+00:00
2025-05-27 21:00:00+00:00,1.13367,1.13454,1.12103,1.12296,172442.35,2025-05-27 21:00:00+00:00
2025-05-28 21:00:00+00:00,1.12294,1.13843,1.1223,1.13765,174301.56,2025-05-28 21:00:00+00:00
2025-05-29 21:00:00+00:00,1.13768,1.13897,1.13123,1.13453,160631.3,2025-05-29 21:00:00+00:00
2025-05-31 21:00:00+00:00,1.13439,1.13602,1.13435,1.13526,9268.6,2025-05-31 21:00:00+00:00
2025-06-01 21:00:00+00:00,1.13527,1.14538,1.13524,1.14531,139498.98,2025-06-01 21:00:00+00:00
2025-06-02 21:00:00+00:00,1.1453,1.14544,1.13639,1.1384,122583.6695,2025-06-02 21:00:00+00:00
2025-06-03 21:00:00+00:00,1.13838,1.14344,1.13568,1.14205,145279.76,2025-06-03 21:00:00+00:00
2025-06-04 21:00:00+00:00,1.14209,1.14948,1.14045,1.14533,157418.23,2025-06-04 21:00:00+00:00
2025-06-05 21:00:00+00:00,1.14532,1.14572,1.13715,1.13935,142921.49,2025-06-05 21:00:00+00:00
2025-06-07 21:00:00+00:00,1.13952,1.14111,1.13903,1.14061,4784.39,2025-06-07 21:00:00+00:00
2025-06-08 21:00:00+00:00,1.14063,1.14391,1.13864,1.14261,98861.77,2025-06-08 21:00:00+00:00
2025-06-09 21:00:00+00:00,1.1426,1.14475,1.13729,1.14372,114634.24,2025-06-09 21:00:00+00:00
